turn,index,name,level,attack,health,perk
1,0,ant,1,2,2,0
1,1,pigeon,1,3,1,0
1,2,fish,1,2,3,0
2,0,ant,1,2,2,0
2,1,ant,1,2,2,0
2,2,pigeon,1,3,1,0
2,3,fish,1,3,4,0
2,4,mosquito,1,2,2,0
3,0,ant,2,4,4,0
3,1,ox,1,1,3,0
3,2,pigeon,1,4,2,0
3,3,fish,1,3,4,0
3,4,mosquito,1,2,2,0
4,0,ant,2,5,5,1
4,1,ox,1,2,3,0
4,2,kangaroo,1,1,2,0
4,3,fish,1,3,4,0
4,4,mosquito,1,2,2,0
5,0,ant,2,5,5,1
5,1,ox,1,3,4,0
5,2,kangaroo,1,2,4,3
5,3,giraffe,1,1,2,0
5,4,rabbit,1,1,2,0
6,0,ant,2,6,7,1
6,1,ox,1,4,6,0
6,2,kangaroo,1,4,7,3
6,3,giraffe,1,3,5,0
6,4,rabbit,1,1,2,0
